question,answer
"I am writing software that needs to compare two _mm256 vectors for equality. However, I would like there to be a margin of error +/- 0.00001. Eg, 3.00001 should be considered equal to 3.00002. Is there a simple way to do this using SSE/AVX/AVX2 instructions?
","Subtract values being compared, mask out sign with*_and_*or*_andnot_*, compare with*_cmpgt_*against your margin populated with*_set1_*
"
"I found the following answer:Convert void* to double

However, I am getting segmetation fault. Why is that?

Code:

```
void * p = (void *) 1234;
double n = *(double *)p;
```
","Pointerpis assigned to address 1234 that you chose atrandom?. You are then referencing arandomaddress. It does not correspond to a valid allocated chunk of memory.
"
"```
FILE* file = fopen(some file)

pcap_t* pd = pcap_fopen_offline(file)

pcap_close(pd)

fclose(file)
```

This code occurs double free error.

Could you explain about this happening?

My Guess is that pd and file pointers are sharing some datas.
","As the documentation says, thepcap_closefunction closes the files associated with thepcap_tstructure passed to it. Closing the file again withfcloseis an error.
"
"Many programs assumesizeof(int)==sizeof(unsigned int). IMO it is not and I cant find anything in the Standard which guarantees it. Am I right or wrong?
","C11 6.2.5.6 (Types) says ""For each of the signed integer types, there is a corresponding (but different) unsigned integer type (designated with the keyword unsigned) that uses the same amount of storage (including sign information) and has the same alignment requirements.""
"
"I have trouble understanding the difference between bitwise concatenate and or.
For example, I have to bianry values which is 1111 and 0000.
If I do 1111 | 0000, will I get 1111 or 11110000?
And if I get 11110000 as the result, when should I use | as or operation?
","1111 | 0000is1111. There is no bitwise concatenate operator.  You can use left shift<<to move bits to the left1111 << 4is11110000.
"
"I have a problem that need to resample 16 bits depth to 32 bit depth mp3 in c program. any suggestion where I can find some repo as reference or web site to start with?
","Decode the MP3 into WAV or AIFF format with PCM coding, up-sample, then re-encode.FFMPEGis good for that.

However word of advice: You don't gain audio quality doing this, You only have 16 bits of information per sample, you can't add more to it. That's how information theory work.
"
"I am trying to rewrite the code from AVR to STM32. How to translate this code into STM32?

```
#define READ_IO     PIND & (1 << PD4)
volatile unsigned char data_in = 0;
data_in = (READ_IO) >> PD4;
```

I use STM32CubeIDE
","Assuming pin4 on port D.

```
data_in = !!(GPIOD -> IDR & (1 << 4));
```
"
"I have the following piece of code:

```
#include <stdio.h> 
int main() {
    printf(""%c"",""ACEGIK""[3] - 1); 
    return 0; 
}
```

I know that the result is F.

What does the [3] -1 mean ?
","""AGECIK""is an array of chars

you're taking the third element (counting from 0)""ACEGIK""[3]that'sG

subtracting 1'G' - 1and getting characterF



[3]is applied to the array

while-1is applied to character/value got from the array
"
"I have the following piece of code:

```
#include <stdio.h> 
int main() {
    printf(""%c"",""ACEGIK""[3] - 1); 
    return 0; 
}
```

I know that the result is F.

What does the [3] -1 mean ?
","""AGECIK""is an array of chars

you're taking the third element (counting from 0)""ACEGIK""[3]that'sG

subtracting 1'G' - 1and getting characterF



[3]is applied to the array

while-1is applied to character/value got from the array
"
"Suppose that we have

```
int arr[3]; 
char str[20] = ""{10,20,30}"";
```

Is it possible to initialise arr with str?
","You can't do that specifically, statically, but you can kind of do the reverse.

You can create a ""to string"" macro like this:

```
#define __STR(x) #x
#define STR(x) __STR(x)
```

Then you can use it like this:

```
#define NUMS {10,20,30}
int arr[3] = NUMS;
char str[] = STR(NUMS);
```
"
"I have CodeBlocks 13.12 and I want to compile a c99 code on it. Is there any way I can do this. If there is any other way to compile a c99 code, that is okay as well.
Thanks!
","From the option of add new flag I added-std=c99in the tab for compiler flag and it works.
"
"Is there any way to store a glut color in a variable, like instead of doing this:glColor3f(1.0, 1.0, 1.0);being able to do this:

```
glColor white = glColor(1.0, 1.0, 1.0);
glColor3f(white);
```

which in turn creates much more readable code
","I suggest to store the color in an array and set the color withglColor3fv:

```
float white[3] = {1.0f, 1.0f, 1.0f};
```

```
glColor3fv(white);
```
"
"I want to create the following looking 2D array of ""-""



I attempted something like this but it did not work (for 10 by 10)

```
char table[10][10];

for (int i = 0; i < 10; i ++){
    for (int j = 0; j < 10; j++)
    {
        strcpy(table[10][i], ""-"");
    }
}
```
","The whole 2D array?

If not strings, usememset(table, '-', sizeof table);to fill every byte with'-'. Noforloop needed.
"
"I would like a method of flushing the instruction cache similar to__builtin___clear_cachein GCC but for clearing the instruction cache independent of the compiler. Is there any POSIX + C Standard compliant way to do this?
","There is no C Standard method of flushing the instruction cache.
"
"Consider the following pointer declarations.

```
int *p[10];

int (*q)[10];
```

What is the difference between 1st and second. How to read them in plain English?

Example:

```
int *p; // it will be read as ""p is a pointer to an int""

int **p;  // p is a pointer to an integer pointer.
```
","int *p[10]is an array of10pointers toint.int (*q)[10]is1pointer to an array of 10ints.
"
"Once I have enabledO_NONBLOCK, and then call a non-blocking function, and after it returns some I/O error happens, how may I get to know that something bad has happened, and how to handle it?
","You get the errors when they are ready for you to see them and you are ready to receive them.

sooner or later you end up calling read() or close() or whatever and that will give you the error.
"
"This question already has answers here:How to escape the % (percent) sign in C's printf(13 answers)Closed9 months ago.

```
printf(""%d \% %d = %d"", 4, 3, 1);
```

I was expecting this to print ""4 % 3 = 1"", but instead it prints ""4 %d = 3"". How can I make this print the expected result? Does ""\"" not disable the ""%"" following it?
","%%is the pattern to escape a%, so writeprintf(""%d %% %d = %d"")
"
"I have been looking through the documentation offopenandifstream, and what I cannot find is whether I need to seek to the beginning of a file after opening it. IthinkI can assume I don't need to, and experiments I have done support this hypothesis, but I find it safer to check.
","https://en.cppreference.com/w/c/io/fopen

says that it depends on the mode you open your file with. For example, if it's ""append"" -- the pointer is set to EOF.
"
"I'm trying to print non-printable characters in C files, but I can't print the given character because I don't know its meaning. I noticed this when I compared my program with cat.

cat -nt file.txt:

```
134  is 127 7f
```

cat -n file.txt:

```
134 ^? is 127 7f
```
","In theCaret Notation(whichcatuses when-vor-tis specified)^?representsthe DEL character(Unicode U+007F, ASCII encoding 127 decimal, 0x7f in hex).
"
"I need to write a recursive function with 2 parameters that calculate the result of their multiplication byonly using addition

exemple :
mult(2,5)=>10

I wrote the function but I think that I'm missing something in the return

```
int mult(unsigned int num1, int num2) {
    if (num1 == 0) return 0;
    return mult(num1 - 1, num2);
}
```
","You should return:

```
return num2 + mult(num1 - 1, num2);
```
"
"What is a merit for the signed int return value of memcmp compared to say bool?

I don't think I've ever used the return value of memcmp other than to compare it against zero.
","What is a merit for the signed int return value of memcmp

Useful for sorting objects based on their binary representation.

Note:memcmp()returns a +,0,- based on the first mismatched byte as if bytes areunsigned char, notchar.
"
"I use-Werror ... -Wno-unknown-pragmascompiler flags (cause I don't need unknown pragmas to cause an error).

However, this silences all unknown pragma warnings.

Is there a way to produce-Wunknown-pragmaswarnings while not turning them into errors, and to apply-Werrorto all other warnings.
","-Werror -Wno-error=unknown-pragmasshould do the trick.
"
"I'm using GCC version 10.2.1  in Linux Debian (x86-64).
i write this c code:

```
#include <stdio.h>

int main() {
  printf(""Hello World!"");
  return 0;
}
```

Now my question is how can compile and run this code forarmv7l?
Target system Is a evaluation board
thank you
","you can usearm-linux-gnueabihf-gcc hello.c -o hellocommand . and befor you should install arm-linux-gnueabihf-gcc in your linux system .

here is full sample that work for me
"
"This question already has answers here:How can I print a quotation mark in C?(9 answers)Closed11 months ago.

How to print""inprintf(""something equal ""x(as char)"" "")??
","```
#include <stdio.h>
 
int main(void) {
    printf(""something equal \""x(as char)\"" "");
    return 0;
}
```

In C, the escape character is\.
So to print a literal"", instead of using it to end a string, use\"".
"
"In my code I have two char pointer, one to a string and the other as an error indicator forstrtoumax()andstrtod(). I am currently using the typesize_t(aka unsigned long) to calculate the difference between them. Is there any type designed to specifically match pointer type size on every machine? Or do I have to check it myself with macros?
","For pointer difference useptrdiff_t. If you're just trying to store a pointer as an integer, useuintptr_t(orintptr_t).
"
"I have an integer array:

```
int s3[] = {97, 115, 100, 102, 103, 49, 50, 51, 37, 36, 33};
```

and I need its string value like""asdfg123%$!""

something like this:

```
printf (""%s"", s4);   // and output should be => asdfg123%$!
```
","Copy the array item by item in a loop and store each value in achar. Then null terminate thatchararray so that it becomes a string. Or alternatively don't declares3asintto begin with.
"
"Now I'm developing some software in the embedded Linux platform, I have some physical push buttons which I can read their pressing event through the file/dev/input/event1, in some special cases, I have to clear all event data stored in/dev/input/event1, but I don't know how.
","Open the file in non-blocking mode andread()until there is nothing more to read. Use a buffer of PAGESIZE or 4K for efficiency.
"
